Lfd. Nr.,Stadt,Postleitzahl,Fläche km,Bevölkerung gesamt,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung je km2
1,"Berlin, Stadt",10178,"891,12",3.574.830,1.755.700,1.819.130,4.012
2,"Hamburg, Freie und Hansestadt",20038,"755,3",1.810.438,886.289,924.149,2.397
3,"München, Landeshauptstadt",80331,"310,71",1.464.301,714.112,750.189,4.713
4,"Köln, Stadt",50667,"405,02",1.075.935,524.790,551.145,2.657
5,"Frankfurt am Main, Stadt",60311,"248,31",736.414,363.754,372.660,2.966
6,"Stuttgart, Landeshauptstadt",70173,"207,33",628.032,313.295,314.737,3.029
7,"Düsseldorf, Stadt",40213,"217,41",613.230,296.231,316.999,2.821
8,"Dortmund, Stadt",44135,"280,71",585.813,287.897,297.916,2.087
9,"Essen, Stadt",45127,"210,34",583.084,283.065,300.019,2.772
10,"Leipzig, Stadt",4109,"297,8",571.088,280.292,290.796,1.918
11,"Bremen, Stadt",28195,"326,18",565.719,279.170,286.549,1.734
12,"Dresden, Stadt",1067,"328,48",547.172,272.398,274.774,1.666
13,"Hannover, Landeshauptstadt",30159,"204,3",532.864,259.559,273.305,2.608
14,Nürnberg,90403,"186,45",511.628,248.451,263.177,2.744
15,"Duisburg, Stadt",47051,"232,8",499.845,247.099,252.746,2.147
16,"Bochum, Stadt",44787,"145,66",364.920,177.592,187.328,2.505
17,"Wuppertal, Stadt",42275,"168,39",352.390,172.255,180.135,2.093
18,"Bielefeld, Stadt",33602,"258,82",333.451,161.109,172.342,1.288
19,"Bonn, Stadt",53111,"141,06",322.125,153.493,168.632,2.284
20,"Münster, Stadt",48143,"303,28",311.846,149.412,162.434,1.028
21,"Karlsruhe, Stadt",76133,"173,42",309.999,158.207,151.792,1.788
22,"Mannheim, Universitätsstadt",68159,"144,97",304.781,152.203,152.578,2.102
23,Augsburg,86150,"146,87",289.584,142.033,147.551,1.972
24,"Wiesbaden, Landeshauptstadt",65183,"203,93",277.619,132.595,145.024,1.361
25,"Gelsenkirchen, Stadt",45879,"104,94",262.528,130.776,131.752,2.502
26,"Mönchengladbach, Stadt",41061,"170,47",260.925,128.169,132.756,1.531
27,"Braunschweig, Stadt",38100,"192,7",248.667,122.814,125.853,1.290
28,"Kiel, Landeshauptstadt",24103,"118,65",247.441,120.473,126.968,2.085
29,"Chemnitz, Stadt",9111,"221,05",246.353,121.279,125.074,1.114
30,"Aachen, Stadt",52062,"160,85",244.951,127.246,117.705,1.523
31,"Magdeburg, Landeshauptstadt",39104,"201,01",238.136,117.527,120.609,1.185
32,"Halle (Saale), Stadt",6108,"135,02",238.005,115.198,122.807,1.763
33,"Freiburg im Breisgau, Stadt",79098,"153,04",227.590,108.503,119.087,1.487
34,"Krefeld, Stadt",47803,"137,77",226.812,110.593,116.219,1.646
35,"Lübeck, Hansestadt",23539,"214,21",216.712,103.921,112.791,1.012
36,"Mainz, Stadt",55116,"97,73",213.528,103.861,109.667,2.185
37,"Oberhausen, Stadt",46045,"77,09",211.382,103.720,107.662,2.742
38,"Erfurt, Stadt",99084,"269,91",211.113,102.577,108.536,"782,00"
39,"Rostock, Hansestadt",18055,"181,36",207.513,102.082,105.431,1.144
40,"Kassel, documenta-Stadt",34117,"106,78",199.062,97.228,101.834,1.864
41,"Hagen, Stadt der FernUniversität",58095,"160,45",188.266,91.677,96.589,1.173
42,"Saarbrücken, Landeshauptstadt",66111,"167,52",179.709,89.041,90.668,1.073
43,"Hamm, Stadt",59065,"226,43",179.571,88.209,91.362,"793,00"
44,"Potsdam, Stadt",14461,"188,26",171.810,83.060,88.750,"913,00"
45,"Mülheim an der Ruhr, Stadt",45468,"91,28",170.936,82.431,88.505,1.873
46,"Ludwigshafen am Rhein, Stadt",67059,"77,43",166.621,82.629,83.992,2.152
47,"Oldenburg (Oldenburg), Stadt",26122,"103,09",165.711,79.125,86.586,1.607
48,"Osnabrück, Stadt",49074,"119,8",164.070,79.430,84.640,1.370
49,"Leverkusen, Stadt",51373,"78,87",163.113,79.343,83.770,2.068
50,"Heidelberg, Stadt",69117,"108,89",159.914,77.167,82.747,1.469
51,"Solingen, Klingenstadt",42651,"89,54",158.908,77.127,81.781,1.775
52,"Darmstadt, Wissenschaftsstadt",64283,"122,09",157.437,80.183,77.254,1.290
53,"Herne, Stadt",44623,"51,42",156.774,76.745,80.029,3.049
54,"Neuss, Stadt",41460,"99,52",152.882,74.085,78.797,1.536
